cnpj_fundo,forecast,porc_cdi,apr,mse,mae
30.068.271/0001-40,1.0739079397790834,1.0670319860174318,BOM,0.0004107197810790529,0.015184112268051901
42.930.012/0001-65,1.0726722760221434,1.0658042338947604,BOM,1.002223451760157e-05,0.003146428183800495
42.930.012/0001-65,1.0726722760221434,1.0658042338947604,BOM,1.002223451760157e-05,0.003146428183800495
07.400.556/0001-14,1.0720045670594058,1.06514080009918,BOM,0.00014130125772880662,0.004805799103566666
17.786.540/0001-45,1.0707917443937447,1.0639357428222094,BOM,0.00034148611665346434,0.013581340890149686
32.320.600/0001-23,1.070389361969574,1.0635359367482458,BOM,0.00025496036579487696,0.013121587206687145
11.228.311/0001-29,1.0698950311786521,1.0630447710290545,BOM,0.00024166137334828176,0.012905109830213113
11.228.311/0001-29,1.0698950311786521,1.0630447710290545,BOM,0.00024166137334828176,0.012905109830213113
21.454.683/0001-27,1.068848246556813,1.062004688697413,BOM,0.00016010835052550514,0.004697958799257068
21.454.683/0001-27,1.068848246556813,1.062004688697413,BOM,0.00016010835052550514,0.004697958799257068
04.895.099/0001-98,1.068819598399482,1.0619762239667967,BOM,0.0007167147596417144,0.020057514921833452
35.690.218/0001-08,1.0688109064970357,1.0619675877163455,BOM,0.00023824323168840876,0.009127834615923218
30.592.652/0001-23,1.0687311954340488,1.0618883870226026,BOM,4.105747788199504e-05,0.005141613829081302
42.605.222/0001-88,1.0666207581714902,1.0597914623419857,BOM,7.775875623828195e-06,0.000551707125333483
18.351.057/0001-09,1.066051378702804,1.059225728462232,BOM,0.002164204704088487,0.00935504739211888
41.409.602/0001-84,1.0659401529163388,1.0591152148256042,BOM,0.0002890304446883186,0.01278670953387451
38.150.833/0001-01,1.0645493681058538,1.0577333348492255,BOM,0.00016723648113009399,0.009594862832651815
17.488.570/0001-75,1.0644274718086726,1.057612219022392,BOM,0.00034975716568397963,0.015552379549380112
17.488.570/0001-75,1.0644274718086726,1.057612219022392,BOM,0.00034975716568397963,0.015552379549380112
20.335.511/0001-71,1.0640268469310543,1.0572141592418667,BOM,0.00018613962504533378,0.010907978166412808
39.586.800/0001-71,1.0637478938721054,1.0569369922469405,BOM,5.837554240826682e-05,0.006380316483731199
42.562.620/0001-64,1.0630773563792542,1.0562707480315905,BOM,9.318402790948467e-05,0.0016188651782650526
41.545.259/0001-03,1.0630204615227496,1.0562142174580829,BOM,0.0002146937582548343,0.003634440841787792
